name,ratings,date,helpful,comment,developer_comment
안녕,2,2021-07-01,24,전 진짜 배송비 무료가 가장 좋은 혜택이었다고 생각하는데 다른 곳에서 파는 물건을 배송비까지 추가시켜서 무배예요~ 이러는 거더라구요? 그럼 다른곳에서 사든 에이블리에서 사든 똑같은 거예요 에이블리를 쓸 이유를 못느끼겠습니다,
김태희,2,2021-07-02,27,업데이트 되고나서 왜 포인트 구매금액의 10퍼센트만 쓸 수 있게 만들어 놨는지 의문..그동안 내 돈주고 내가 산건데 포인트도 마음대로 못 쓰나요?; 에이블리 배송 느려도 그나마 잘 쓰고 있었는데,
별냥이,2,2021-06-25,41,일단 오늘 가입해서 오늘 탈퇴하려함.. 이유는 디자인 복사가 너무 심함 한 쇼핑몰에서 조금 특이한 디자인에 상품을 내고 인기가 있으면 여기저기에서 똑같이 옷을 만들어팜 (만드는지 수입해오는지는 모름) 디자인만 똑같고 가격은 다르며 제질도 다다르고 핏도 조금 다름.. (개인적으로 안좋은쪽으로 핏이 다름) 앱 문제냐 하겠지만 앱 문제 맞음.. 그런거 또한 잘 심사해야하는것이 앱 관리자의 책임임... 이게 잘지켜지지 않는 앱은 상품에 문제가 있어서 문의하면 나몰라라 함 ..이 앱 평가에 그런사람 꾀 있음. 사업자는 앱 관리자에게 문의하라하고 앱관리자는 나는모르오..하는 갑갑한 상황이 벌어짐.. .,
me ow,2,2021-06-27,0,아니..로레알 파리 1만 원 쿠폰을 받아서 사려고 보니까 다 품절됐길래 며칠 지나고 3시간 뒤 소멸이라길래 다시 들어가 보니 계속 품절이네요? 이럴 거면 뭐 하러 쿠폰을 주신 건지..리뷰 이벤트로 쿠폰 준 걸로 아는데 소비자 대상으로 장난하시는 건가요? 배송이나 제품에 하자가 있어도 소비자가 다 배송비 결제하고..왜 이런 식으로 처리하는지 모르겠네요 제품에 하자가 있으면 당연히 상대방이 사과하고 배송 다시 시켜야 하는 거 아닌가요? 이걸 왜 제가 해야 하는지..,
김수희,2,2021-04-13,83,처음 에이블리를 이용하여 총 6벌의 옷을 구매하면서 느낀점. G00이나 쿠0 등을 이용하다가 에이블리를 써보니 원래 이렇게 느린건가 싶다. 그 중 1벌은 공장에서 제고가 없다하여 다른 색으로 변경하고 다음날 다시 전화와서 그 상품도 없다해서 취소시킴. 또 다른하나는 1주일이 지나도 싱품준비중이어서 그냥 취소시킴. 늦으면 늦는다고 얘기라도 해주던가-- 암튼 결과적으로 보면 다시 이용할지는 잘 모르겠다.,
제과제빵,2,2021-05-08,45,옷 살 때 에이블리만 사용하는 사람인데 예전엔 옷이랑 액세서리 등 만 나와서 참 좋았는데 요즘엔 인테리어 가구라든지 뭔 패치라든지 옷과 관련이 없는 것들이 나오더라고요 그래도 처음엔 몇 개 안 뜨고 해서 그냥 지나갔지만 요즘엔 홈에서 추천상품들 보면 넘길 때마다 1~2씩 계속 나오네요. 관심이 없는데 계속 나와서 그만큼 옷을 보려면 더 내려야 해서 약간 짜증이 나요. 원하지 않는 것들은 빼고 뜰 수 있게 해주셨으면 좋겠어요,
밤밤튜브,2,2021-05-08,7,회원가입 하려고하니 인증실패만 계속뜨고 스크롤 내려서 의상 보고 다시 올리니까 이미지가 안나오네요. 하필 제가 할때만 오류가 자꾸 나는 걸까요 ㅠㅠ 사고싶었는데.. 저에게는 인연이 없나봐요 아쉽네요.,
농소중 권예은,2,2021-06-06,30,교환/반품이 어렵구요.교환반품 배송비 등등이 더 많이 드네요 교환반품 하기도 어렵구요. 그리고 배송이 진짜 너무 늦어요 ; 이 점들만 바꿔주시면 감사하겠습니다.,
김현화,2,2021-06-09,1,"에이블리에 핸드폰케이스가 예뻐서 사려고 했는데 lg Q 6,7,8,9는 있는데 lg Q51이 없어서 다 찾아봤는데 없어서 많이 아쉽네요",
권아영,2,2021-05-16,45,"쿠폰 사용 가격대를 낮추고 더 많이, 자주 뿌려주셨으면 좋겠습니다.(ex.3만원 이상 구매시 3000원 할인쿠폰->1만원이상 구매시 1000원 할인쿠폰) 이벤트는 좋지만 렌덤 당첨 이벤트는 안했으면 좋겠습니다. 렌덤뽑기를 한다면 꽝은 없었으면 좋겠습니다. 뽑기를 하면 당첨자는 극 소수이기 때문이죠.. 항상 꽝 걸리는데 솔직히 꽝 걸릴때마다 속상해서 에이블리 싫어져요. 리뷰에 쓸대없이 자기 본진 사진이나 짤 사진 올리시는 분들 많으신데 이거 좀 걸러주셨으면 합니다. 리뷰 보는데 너무 방해됩니다.",
