name,ratings,date,helpful,comment,developer_comment
사도정의의,4,2021-06-23,85,"진짜 잘 쓰는 쇼핑몰이고, 다른 곳에서 옷 안사고 항상 에이블리에서만 사는 사람입니다. 그런데 환불을 하거나 품절되서 환불처리를 하면 돈이 너무 늦게 들어옵니다. 돈이 좀 빨리 들어왔으면 좋겠네요. 환불하면 돈이 기본 일주일 뒤에 들어와서 사람 미치겠습니다",
여서윤,4,2021-07-02,0,다 좋은데 기능에 신체 조건 같은거 넣어주시면 안될까요...?허리가 얇다던가 허벅지가 두껍다던가 그런거요 바지를 사고 싶은데 허리크기 보느라 바지 고르는데 너무 오래걸려서요....,
장하영,4,2021-07-02,2,옷들이 한눈에 보여서 쇼핑하기 편해요. 근데 배송비 므료라고 써놓고 옷 하나하나 가격에 배송비 포함시켜놓은건 진짜 기만인듯.,
잠온다드르렁쿨,4,2021-06-25,19,"오류가 조금 있네요. 상품 배송완료되고 확정까지 했는데도 주문내역에서 안사라져서 주문한건 1개인데 전의주문내역 상품들도 다 합쳐져서 4개로 표시되는,.",
이야기 만드는 언냐,4,2021-06-22,15,좋아요 매우 좋고 예쁜것들도 많은데 따로 매뉴가 나뉘어져 있지 않아요 저는 펜시를 좋아하는데 펜시 로 검색하면 안 나오고 개별로 펜이면 펜 다이어리면 다이어리 따로 검색하는게 꽤 귀찮더라구요 브랜디 처럼 계별로 나뉘어져 있었으면 좋겠습니다.,
정문희,4,2021-06-15,74,"사진이 너무 많은 쇼핑몰이 있는데 사이즈 표기, 제조국, 원단 그런게 다 맨 밑에 있어서 계속 내려야해서 손도 아프고 짜증나서 맨 밑으로 가는 버튼도 있으면 좋겠어요 나머진 다 좋아용",
김하늘,4,2021-06-10,65,비교하고 나만의 스타일 찾아주는건 처음에는 되게좋았으나 자꾸 들어가다보니 매일 매번그가게라ㅜㅜㅜ어느순간 또 다른곳을 찾고있다는.... 거래처가 진짜 많아지면 더 다양한스타일을 볼수있어 좋을것같아요 허나 비슷한스타일 비교분석하긴 진짜 편했어요,
BK Love,4,2021-06-17,8,다른앱보다 보기편함 필더도 편한데 다른앱에비해 맞는편이긴한데 안맞는게 쫌 있네요 그리고 한번에 받아보고싶어 에이블리 배송상품만 찾아봤는데 그런필터는 없네요??,
이상이,4,2021-06-29,9,"제 스타일에 맞는 옷이나 악세를 바로바로 서칭할수 있어 좋아요. 무배도 매력적!! 이벤트도 다양해서 좋긴한데~뭐랄까.. 그러다보니,카테고리가 굉장히 정신없어요. 배송도 빠른 편은 아니구요^^",
인간하루,4,2021-06-08,30,너무 좋와요!! 원하는 재품 구매가능하고 무료배송까지!! 가끔 조금만 구매할때 배송비가 아까웠는댕 무료배송 해주시니깐 너무나도 좋와용!! 사용해보셔도 좋을듯해요 ㅎ,
김성철천안지점,4,2021-06-15,0,정말 좋아요 !! 근데 상품은 도착 했는데 상품이 오고있는 중이라고 떠서 리뷰를 못써요 🥺😵,
sky line,4,2021-04-24,27,예쁜옷들도 많고 배송도 빨라요 자주 이용하고 있어요! 옷 종류가 엄청 많아서 고민하게 되네요 ㅎㅎ예쁜 옷이 너무 많아서 고르기가 어려워요 ㅜㅜ 이 앱이 저를 결정장애로 만들었습니다. 전 제품 무료배송이라서 배송비절약했어요! 좋은 앱 감사합니당,
TR 2,4,2021-04-26,91,내가 원하는 스타일을 선택해서 볼수있어서 좋았고 사용도 어렵지 않았어요. 전상품 무료배송인점도 좋았고 쿠폰을 많이줘서 좋았어요. 아쉬운점은 15%쿠폰을 24시간내로 사용해야하는게 불편했어요ㅠ 다른분들은 쇼핑을 먼저하고 살옷을 정한다음에 쿠폰을 결제하기 직전에 받는것을 추천드립니다. 옷종류도 다양하긴 했지만 제가 네이버쇼핑에서 봐둔 옷은 없어서 아쉬웠습니다. 그래도 전반적으로 좋고 편리한 어플인건 확실합니다.,
voll cht,4,2021-04-30,4,"근데 한눈에 안들어오고 너무 많고 설정 사항 일치하지 않는 쇼핑몰이 너무 많음. 검색어 설정으로 인한 선명한 검색결과를 원하는데 키워드 마케팅으로 신뢰를 줬으면 하는 기대와 달리, 키워드에 대한 신뢰가 떨어지기만함.",
하민,4,2021-04-30,3,좋은데 그냥 별로 괜찮은데 쏘쏘해요 나쁘진 않은데 좋지도 않은? // +뭔 개소리를 썼었던.... 죄송합니다 ... ㅜㅜ 진짜 좋아요 쇼핑앱들 중에 가장 쓰기 편했어요 다만 질문사항이 잇서요 ㅜㅜ 혹시 편의점결제를 하면 택배는 집으로 받는거죠? 아니면 편의점 주소를 배송지에 입력하면 편의점에 배달이 올 수 있나요? 이것 빼곤 다 너무 좋았어요 ㅜㅜ ❤❤❤,
현정정,4,2021-04-15,35,아래로 내려가기 버튼 만들어주세요. 이번에 처음 깔아봤는데 저 버튼이 없어서 에이블리에서 옷 보다가 지그재그 가서 실측이랑 후기 보고 다시 에이블리에서 옷 보고 무한반복 했어요ㅠㅠ 너무 불편해요. 그리고 올라와있는 옷이랑 마켓이 너무 적어서 아쉽지만 그래도 전상품 무료배송은 확실히 좋은 것 같아요 앞으로 옷 사기 전에 여기 올라와있는지 확인해볼 것 같아요,
지은,4,2021-05-15,57,"배송이 좀 느린게 아쉬워요 작은 악세사리 들은 1~2일 걸리는데 빨리와서 좋아요 근데 의상이나 하의 , 원피스 이런게 일주일넘게 걸리는때도 있었어요 좀만 수정해주셨으면 합니담. 글애두 옷들은 이쁘니까 용서가 되네여. 하지만 이 앱 좀 추천합니드ㅏ",
박*희,4,2021-05-04,23,10대 딸아이가 선호해서 쇼핑 시작했습니다 다양한 상품들이 보여서 쇼핑하기 좋으네요 아쉬운점이 있다면 모델컷 사진을 확대할수없어서 캡쳐후 확대해서 본다는게 조금 불편합니다 첫구매에 만족해서 재구매했구요 엄마옷도 샀습니다 10대 딸아이옷 쇼핑에 시간절약되서 도움됩니다.,
